,x,y,ap1,ap2,ap3,ap4,ap5,ap6,label
152,784,162,-51.075792300343245,-44.01545334250467,-55.98812526373193,-54.00846228696773,-55.019554660341356,-53.59348838431899,11.236
154,884,242,-51.44882241687366,-41.70497634316405,-54.64753180318085,-50.88446179416184,-55.8793714453282,-56.871350527877446,15.636
156,980,328,-48.32111831883594,-46.6417725616824,-51.618386571712804,-57.42419634813538,-56.81413800532263,-54.9804262510284,20.32
157,1029,369,-55.82761946088105,-46.838142651154904,-49.59887267522348,-56.759889079888445,-63.116708865580804,-55.7040760622587,22.566
159,1139,434,-56.134129878257816,-46.62650193126289,-61.012280993928115,-54.313703416622836,-57.11181710338437,-55.80389861737905,26.256
161,1250,497,-56.03695910311349,-48.06942711546548,-53.28979096868211,-55.00865828334941,-55.13858808387171,-53.718888554739294,29.85
162,1310,520,-53.993451950619516,-49.703750578806506,-48.47231136627555,-60.60279088278439,-58.924257085580656,-54.71862209948896,31.240000000000002
163,1368,548,-54.05689104235579,-50.42411193489191,-52.35793891378874,-51.28366215962987,-60.513726925807205,-57.346294913717166,32.872
169,1744,542,-62.13867699278461,-50.380913625135534,-49.419518021891164,-55.63016231440446,-55.29109443367501,-51.98446988900946,34.076
170,1808,532,-55.80403210441613,-61.1139138843165,-44.9245153067553,-68.41858088859517,-57.19397638647102,-54.5054547161481,33.832
171,1872,524,-54.406709528737444,-61.08457129062833,-45.819137657672385,-56.73143039356898,-60.836943325667164,-55.378297170135454,33.688
172,1824,567,-57.97218028282144,-57.372757310432725,-46.5777851707884,-56.83515367537393,-56.86607321515389,-50.692727103642746,35.646
174,1764,678,-58.05494914609482,-50.97635908217187,-55.388434461884046,-66.19544300834707,-54.45567150530428,-57.014991126239956,40.955999999999996
175,1742,739,-58.629029501738074,-52.162126265008396,-52.17894687439138,-66.5900032503833,-52.36854432285922,-50.58012420505287,43.918000000000006
178,1660,910,-60.66147186417061,-61.3837277380147,-51.38048620957871,-53.253080470298706,-48.35583035182607,-61.16958859114585,52.14
180,1640,1036,-62.611439100098835,-55.69786020606329,-52.206455667230586,-52.194643732366295,-50.12085628000033,-54.02158165897483,58.36
181,1631,1100,-57.269894147007534,-62.16462794172104,-51.26723905730681,-61.79746304940463,-49.35869744988455,-46.758451829255144,61.524
182,1649,1161,-57.29598066844012,-60.22702194609424,-62.61422731055312,-55.491918805854425,-48.921911347312374,-48.65875456161659,64.646
184,1667,1288,-60.44995382144711,-56.06305565906532,-54.70929299307805,-58.59989273552021,-52.79333827358133,-41.73994358735375,71.06800000000001
188,1749,1165,-57.76508833755415,-54.82507783260344,-55.01381605198519,-63.00465388305766,-52.0993091124113,-41.01515212285069,65.246
189,1763,1102,-58.91542270242248,-54.595172194847514,-55.6217841974788,-55.23535429838442,-50.2113620667475,-46.53015513313324,62.152
