,ap1,ap2,ap3,ap4,ap5,ap6,x,y
258,-62.80642919206069,-51.15337697178035,-52.56321109092166,-55.39109412585119,-53.57600108729102,-61.51820882958884,1827,445
259,-37.86145209662909,-54.05337440699357,-63.851333644412364,-56.97934038424465,-52.27721289707105,-55.24568497382532,25,88
261,-52.19336001511106,-51.89097944934655,-50.87120216505565,-51.53648489650877,-52.0176600290148,-58.3186775156699,1013,566
262,-48.632570209089174,-60.42777445414889,-56.939359099431464,-52.90989905958555,-52.97226656354016,-53.58831462529096,384,705
263,-55.394975589235116,-57.368622551408244,-50.22646309294059,-55.23126902416399,-54.69615732802848,-52.70645072329319,1732,245
265,-53.25973038622527,-50.11550817969844,-55.397669126978045,-62.892539378005964,-56.492584672876745,-57.65785715663861,517,294
266,-52.33246804102733,-45.626658695102414,-56.013978818038844,-55.37902009162102,-59.047363061595696,-58.409241674753616,776,33
267,-55.27132467676742,-48.601613857853934,-44.03376898761322,-60.556805064447914,-64.01072425671605,-54.069316774358896,1798,27
268,-47.647310947251654,-58.393394631140836,-58.977524563618175,-53.75034748128128,-51.90311870435862,-57.07843196226678,370,516
269,-52.95922500110269,-51.70167029130586,-53.44295141569866,-58.02300289822365,-51.1503397143455,-53.25792376642341,747,643
270,-54.47584258261795,-53.87981186874063,-54.6852858397716,-60.10201740820425,-55.242970905227466,-56.73303793773804,1295,928
271,-62.79948744591732,-47.08905971478703,-62.031398135645816,-60.22668426520927,-52.289917543401714,-53.09105498765724,1299,483
272,-36.13613997555199,-50.01618895826966,-55.13571874724778,-63.27072794900876,-54.62026981769995,-67.32511972342844,14,23
273,-55.50355248508743,-55.890770025010085,-52.78604119401284,-51.808969433646794,-59.06902483692912,-48.88554037382317,1600,1155
274,-59.06616147978375,-55.46592782657377,-52.514920612252254,-73.31217403479887,-54.63997097435854,-52.93918692261098,905,767
276,-52.059505088637216,-46.7145548863667,-55.011537282508804,-54.159223519969125,-60.47999239480794,-59.67764391225891,1138,364
277,-59.04190941636855,-41.17691281747288,-55.202088901744986,-56.57416392517794,-59.81344623764946,-56.46495220358691,1010,247
