,ap1,ap2,ap3,ap4,ap5,ap6,x,y
148,-60.07336345281915,-55.59540381860786,-56.881367677072234,-59.514813955769355,-52.37842216602446,-48.0382400714683,1546,1232
149,-52.09247375332854,-54.32162260235222,-59.095482527101595,-50.940643247804324,-57.32094149667282,-56.105587348769845,654,339
150,-48.01801137722565,-49.20289973575227,-53.321088704012176,-62.811535344632304,-55.06689152003424,-58.724539141123756,558,570
151,-58.7047392364057,-54.17513972411223,-58.908484179629866,-53.070141696664464,-49.71583085996467,-55.179625356963335,1342,817
152,-56.62747342088255,-59.09669746935241,-57.24355986069185,-53.505538542264766,-54.58808414991722,-55.164900396887845,1023,782
153,-54.94638715806151,-55.40961067872157,-53.78180099480395,-48.8284883326415,-53.35558727537956,-58.03843977093619,162,1033
154,-77.2264239627507,-48.21676504054997,-59.76549458520954,-58.51010361229454,-55.63878202764827,-53.85474389637623,1289,82
155,-52.7131417825834,-55.380503416735166,-54.533879932276285,-42.96636511882675,-55.993067405699094,-56.03539338461336,310,1170
156,-54.45530505552759,-50.84832600192483,-55.332700780952315,-51.17282221626594,-46.998262924788236,-55.011249063357546,769,995
157,-56.17661169841239,-49.688428590515194,-58.64588413729909,-54.933257489652085,-57.25718514901857,-53.97123802770005,1051,478
158,-59.4138297636653,-54.90867888846463,-61.7969095530638,-62.136729285028906,-47.88856951253017,-45.068897751123544,1623,1227
159,-52.54810973443998,-46.938037886688655,-51.60485551218201,-55.2521680209114,-55.008774868872976,-56.82048735892175,1392,124
160,-54.51602022617099,-57.31752231772529,-55.599575096209925,-58.03471679319108,-54.301217356270726,-49.44460802285481,1454,1128
161,-63.56562929907125,-59.82529783626977,-58.62041319893941,-59.536838441827726,-51.95899715378179,-39.74456852771304,1681,1265
162,-39.41010535798182,-52.49148049657529,-63.209694176817635,-60.27549089410755,-63.381550227538014,-54.22970493957546,10,363
163,-54.7777663925618,-59.023802444422195,-53.96036332997809,-50.83505912798414,-46.127466122287046,-52.08714637286203,1037,1163
