,ap1,ap2,ap3,ap4,ap5,ap6,x,y
91,837,460,-49.34782013501001,-54.58605694936172,-54.35933268483713,-55.008931519525106,-59.65239125622685,-58.320565312919896
92,895,488,-50.19297357021274,-46.174952294256116,-73.83156822441399,-56.0258982058057,-63.99752785410347,-52.02321008875326
93,951,519,-51.674217000274005,-49.88724942985448,-55.42415999925982,-65.6618711771007,-60.23520246961641,-53.78898951942669
94,1009,548,-56.259484525679525,-50.496697469764385,-50.3728557871181,-54.11847182904863,-56.10537935675885,-58.410884756006844
95,1058,589,-52.185463768298746,-51.989633947362194,-58.36304687305918,-63.327527940195196,-59.335808504698974,-60.53207540191204
96,1114,622,-52.46040007673362,-48.42813397876977,-63.33731169700138,-56.479037687847686,-54.373719189336526,-71.64383634546559
97,1174,644,-55.03691105305001,-47.079339691199834,-50.90390769340868,-55.84088787266454,-54.50220326882973,-58.74266187554335
98,1234,665,-59.27377993921446,-51.71469228454215,-58.199564085853446,-53.60681731414299,-47.708174007620485,-50.44766394018653
99,1289,699,-56.264919592019105,-51.79177445322765,-53.635756455904506,-61.7553197092421,-57.50033465973757,-52.21347677856634
100,1340,738,-55.898684191193205,-48.441130128834104,-50.400849966268375,-53.169967222425115,-50.436327301887054,-55.40047528633088
101,1394,773,-54.35629058357662,-52.046014916707676,-48.73708507398138,-53.29469956070548,-55.34066106385513,-60.702471451543886
102,1444,813,-56.75847244289276,-53.071084370054216,-60.09274488980249,-56.479370103979896,-51.00486098672518,-55.454545626910104
103,1506,831,-53.645226169768634,-53.40261486609934,-54.22309555580823,-57.44775715614721,-52.71530026808822,-50.975165115977035
104,1569,841,-59.2784058481131,-52.803696593694774,-61.48898648912136,-55.99805208576217,-56.585426605039956,-51.08529214375459
105,1633,849,-52.993221615809745,-55.33208539185728,-58.381253786057826,-53.089060505600926,-51.260810516355974,-51.107600315392745
106,1697,856,-56.198388732980305,-54.098879051116036,-52.77398263245698,-59.49107410521796,-56.817813646472175,-49.05076443688578
107,1761,848,-54.30435958864446,-55.166567803217845,-51.054834174311196,-57.51734481856211,-52.43911433757,-47.43459364734285
108,1822,829,-63.44585088942702,-55.73828648492093,-54.79898459092049,-58.30752820381099,-60.27127046759854,-49.332284163651615
109,1886,831,-66.80179693955863,-60.515148052579534,-51.32981060736082,-53.17231790475734,-54.694782160582136,-63.22762634558002
110,1823,843,-60.457529792083605,-52.97551869030873,-51.94782090764426,-55.461251670767844,-56.38940114949978,-49.981097233722636
111,1761,858,-53.06560335482213,-58.66281639351789,-51.5279705262265,-55.944014585540536,-52.034887315782086,-46.971169191751336
112,1697,859,-56.167935106221314,-56.348869536443075,-54.59142801929719,-57.42550917212122,-53.05219053931893,-50.309002867075435
113,1632,861,-55.88657057210972,-63.92739721762034,-60.999138864502584,-55.72728750045948,-48.935759789890945,-53.624948897275935
114,1569,874,-53.78770284294886,-52.030185365958275,-56.766824956317805,-55.23636621945926,-53.199264841709805,-54.709977018580524
115,1506,881,-55.26177033829591,-57.23077760579743,-48.49955587700024,-53.79004905081253,-49.86409619165593,-52.6966321009283
116,1444,899,-59.27146969650626,-53.488949484988396,-52.67397878973295,-54.198088076450695,-54.67100418891437,-52.34254818507216
117,1385,925,-53.31767876444509,-56.17378431165698,-53.84924597093645,-57.22884315227933,-49.52779712090624,-49.7409329812627
118,1321,934,-52.22718205652083,-56.07257867722527,-62.147305048884945,-59.76457396891824,-55.904124030225304,-57.360172211814096
119,1258,946,-59.0588898866958,-54.269341613104835,-52.08385980955999,-59.290039921416195,-48.42090992023381,-48.29555142678983
120,1194,948,-56.99281747378563,-53.86149591012024,-63.36715402238346,-62.0313821838773,-53.0701534642968,-61.10625015287545
121,1133,926,-55.414709349993174,-52.977901061109726,-53.88250785542728,-52.051187173011435,-47.44879224011239,-52.72781429091117
122,1072,906,-57.01251289734184,-58.78748340229399,-63.651785132665864,-52.72078542210175,-49.79424404547526,-57.861693338239334
123,1012,884,-59.52677542141805,-55.335498948573935,-51.365001061293825,-73.43577024396245,-57.55493464756532,-59.55744233139509
124,962,844,-57.48298476739939,-62.86337628303576,-58.66756255530692,-59.06925456413628,-54.15506021365208,-57.13105266110466
125,907,811,-54.18893908643497,-52.23872713034753,-57.67404145689074,-50.14579906966384,-55.6070187782276,-67.79488873616408
126,847,788,-54.56250684376862,-50.80084418875538,-54.683177775369096,-64.51504952499809,-50.9824239003413,-65.63827123159072
127,790,758,-60.49054112000174,-51.24338109743819,-66.84617138884236,-53.50895324595028,-50.13430627596229,-57.492871173710384
128,738,720,-55.990564459707095,-56.558247202783384,-50.85879806842115,-53.27657996619729,-53.99028400709325,-64.59160301169777
129,694,673,-52.284415251711344,-51.77386139289397,-52.369289294974365,-66.93536097277385,-52.65141852965816,-77.86043777744659
130,647,630,-54.01690321311462,-57.071163064227825,-60.124145265417766,-53.198159745032115,-55.19778615201842,-61.38080994932206
131,593,594,-51.367707670964215,-52.412632161482655,-54.38936319707665,-56.36237122649349,-49.92256478153425,-66.11780007196984
132,535,567,-53.77444521815627,-49.06180035931138,-62.67524723127997,-53.22726705318929,-52.81640264912114,-63.88931165850737
133,478,538,-53.76961510682875,-51.23603514434979,-50.9960103888812,-55.85414900809093,-60.08432190089735,-61.51357391785825
134,425,500,-46.12030429402203,-47.355643302275105,-56.0758541080726,-56.746068498852075,-55.94314145315658,-63.9049706765295
135,363,486,-55.54230790376343,-50.49663110954537,-57.21718193540412,-59.21349182078907,-58.25302875684522,-61.630881947304985
